"Report Written:","Friday, May 26, 2017"
"Project Path:","C:\users\bryanmtdt\My Documents\ImagineXYZ\CurrentLogger\PCB\CurrentLogger.prj"
"Design Path:","C:\users\bryanmtdt\My Documents\ImagineXYZ\CurrentLogger\PCB\CurrentLogger.pcb"
"Design Title:",
"Created:","18/05/2017 02:38:11 p.m."
"Last Saved:","26/05/2017 04:38:32 p.m."
"Editing Time:","628 min"
"Units:","mm (precision 3)"

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"DZ1","1","1N4748","3.3V 1W","SOL","","","","",""
"DZ2","1","1N4748","3.3V 1W","SOL","","","","",""
"ExtraCap1","1","2P","","SOL","","","","",""
"J1","1","2P","","SOL","","","","",""
"J2","1","2P","","SOL","","","","",""
"J3","1","2P","","SOL","","","","",""
"J4","1","2P","","SOL","","","","",""
"J5","1","2P","","SOL","","","","",""
"CONNSUP2","1","2P","","SOL","","","","",""
"CONNLOAD2","1","2P","","SOL","","","","",""
"J6","1","2P","","SOL","","","","",""
"J7","1","2P","","SOL","","","","",""
"J8","1","2P","","SOL","","","","",""
"J9","1","2P","","SOL","","","","",""
"U2","1","74HC125N,652","","SOT27-1","NXP","74HC125N,652","1697403","","74HC125N,652"
"CONNLOAD1","1","Block2_5mm","","SOL","","","","",""
"CONNSUP1","1","Block2_5mm","","SOL","","","","",""
"C1","1","CapPoli2.2nF100V","2.2nF 100V","SOL","","","","",""
"C2","1","CapPoli2.2nF100V","2.2nF 100V","SOL","","","","",""
"C4","1","CapPoli2.2nF100V","2.2nF 100V","SOL","","","","",""
"C5","1","CapPoli2.2nF100V","2.2nF 100V","SOL","","","","",""
"C3","1","CapPoli180nF100V","180nF 100V","SOL","","","","",""
"R1","1","ERJ-PB6B1002V","10k 0.1%","SM","","","","",""
"R2","1","ERJ-PB6B1002V","10k 0.1%","SM","","","","",""
"U3","1","ESP8266","","DIL","","","","",""
"U4","1","FeatherAdalogger","","SOL","","","","",""
"CONNSUP3","1","JST-PH2","","SM","","","","",""
"U1","1","LT6100HMS8","","SM","","","","",""
"U5","1","LT6100HMS8","","SM","","","","",""
"SW1","1","PushButton_SPST_6mm_TH","","SOL","","","","",""
"R3","1","Resistor","1K","DSC","","","","","Resistor"
"R4","1","Resistor","1K","DSC","","","","","Resistor"
"R5","1","Resistor","1K","DSC","","","","","Resistor"
"RSense","1","Y09300R10000B0L","0.1ohm 0.1%","SOL","","","","",""
